Unnamed: 0,LS,ST,RS,LW,LF,CF,RF,RW,LAM,CAM,RAM,LM,LCM,CM,RCM,RM,LWB,LDM,CDM,RDM,RWB,LB,LCB,CB,RCB,RB
1450,60+2,60+2,60+2,68+2,66+2,66+2,66+2,68+2,70+2,70+2,70+2,69+2,73+2,73+2,73+2,69+2,72+2,75+2,75+2,75+2,72+2,71+2,70+2,70+2,70+2,71+2
1451,51+2,51+2,51+2,51+2,52+2,52+2,52+2,51+2,55+2,55+2,55+2,55+2,62+2,62+2,62+2,55+2,66+2,72+2,72+2,72+2,66+2,68+2,74+2,74+2,74+2,68+2
1452,69+2,69+2,69+2,74+2,72+2,72+2,72+2,74+2,73+2,73+2,73+2,75+2,73+2,73+2,73+2,75+2,75+2,73+2,73+2,73+2,75+2,74+2,72+2,72+2,72+2,74+2
1453,66+2,66+2,66+2,75+2,73+2,73+2,73+2,75+2,74+2,74+2,74+2,75+2,70+2,70+2,70+2,75+2,66+2,62+2,62+2,62+2,66+2,62+2,53+2,53+2,53+2,62+2
1454,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1455,65+2,65+2,65+2,71+2,70+2,70+2,70+2,71+2,72+2,72+2,72+2,73+2,73+2,73+2,73+2,73+2,75+2,73+2,73+2,73+2,75+2,74+2,69+2,69+2,69+2,74+2
1456,64+2,64+2,64+2,67+2,65+2,65+2,65+2,67+2,66+2,66+2,66+2,69+2,68+2,68+2,68+2,69+2,74+2,72+2,72+2,72+2,74+2,74+2,73+2,73+2,73+2,74+2
1457,53+2,53+2,53+2,56+2,53+2,53+2,53+2,56+2,54+2,54+2,54+2,59+2,58+2,58+2,58+2,59+2,73+2,70+2,70+2,70+2,73+2,75+2,75+2,75+2,75+2,75+2
1458,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1459,70+2,70+2,70+2,75+2,74+2,74+2,74+2,75+2,75+2,75+2,75+2,75+2,70+2,70+2,70+2,75+2,58+2,56+2,56+2,56+2,58+2,54+2,46+2,46+2,46+2,54+2
1460,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1461,67+2,67+2,67+2,74+2,73+2,73+2,73+2,74+2,75+2,75+2,75+2,75+2,75+2,75+2,75+2,75+2,73+2,73+2,73+2,73+2,73+2,72+2,65+2,65+2,65+2,72+2
1462,65+2,65+2,65+2,70+2,68+2,68+2,68+2,70+2,69+2,69+2,69+2,71+2,71+2,71+2,71+2,71+2,75+2,73+2,73+2,73+2,75+2,75+2,73+2,73+2,73+2,75+2
1463,70+2,70+2,70+2,75+2,73+2,73+2,73+2,75+2,74+2,74+2,74+2,75+2,71+2,71+2,71+2,75+2,72+2,68+2,68+2,68+2,72+2,70+2,65+2,65+2,65+2,70+2
1464,54+2,54+2,54+2,49+2,52+2,52+2,52+2,49+2,52+2,52+2,52+2,51+2,57+2,57+2,57+2,51+2,63+2,69+2,69+2,69+2,63+2,67+2,74+2,74+2,74+2,67+2
1465,71+2,71+2,71+2,67+2,70+2,70+2,70+2,67+2,68+2,68+2,68+2,68+2,70+2,70+2,70+2,68+2,72+2,74+2,74+2,74+2,72+2,73+2,77+2,77+2,77+2,73+2
1466,74+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,73+2,73+2,73+2,73+2,66+2,66+2,66+2,73+2,56+2,51+2,51+2,51+2,56+2,53+2,44+2,44+2,44+2,53+2
1467,69+2,69+2,69+2,70+2,71+2,71+2,71+2,70+2,73+2,73+2,73+2,71+2,74+2,74+2,74+2,71+2,69+2,73+2,73+2,73+2,69+2,68+2,70+2,70+2,70+2,68+2
1468,69+2,69+2,69+2,72+2,72+2,72+2,72+2,72+2,74+2,74+2,74+2,73+2,75+2,75+2,75+2,73+2,71+2,73+2,73+2,73+2,71+2,70+2,69+2,69+2,69+2,70+2
1469,64+2,64+2,64+2,73+2,71+2,71+2,71+2,73+2,74+2,74+2,74+2,73+2,70+2,70+2,70+2,73+2,60+2,58+2,58+2,58+2,60+2,55+2,45+2,45+2,45+2,55+2
1470,68+2,68+2,68+2,74+2,73+2,73+2,73+2,74+2,74+2,74+2,74+2,73+2,69+2,69+2,69+2,73+2,57+2,54+2,54+2,54+2,57+2,53+2,43+2,43+2,43+2,53+2
1471,71+2,71+2,71+2,76+2,74+2,74+2,74+2,76+2,74+2,74+2,74+2,75+2,67+2,67+2,67+2,75+2,54+2,51+2,51+2,51+2,54+2,51+2,42+2,42+2,42+2,51+2
1472,71+2,71+2,71+2,76+2,74+2,74+2,74+2,76+2,74+2,74+2,74+2,75+2,67+2,67+2,67+2,75+2,64+2,58+2,58+2,58+2,64+2,62+2,53+2,53+2,53+2,62+2
1473,56+2,56+2,56+2,56+2,55+2,55+2,55+2,56+2,55+2,55+2,55+2,58+2,58+2,58+2,58+2,58+2,67+2,67+2,67+2,67+2,67+2,69+2,74+2,74+2,74+2,69+2
1474,75+2,75+2,75+2,74+2,76+2,76+2,76+2,74+2,75+2,75+2,75+2,73+2,68+2,68+2,68+2,73+2,56+2,54+2,54+2,54+2,56+2,53+2,48+2,48+2,48+2,53+2
1475,68+2,68+2,68+2,71+2,70+2,70+2,70+2,71+2,70+2,70+2,70+2,72+2,71+2,71+2,71+2,72+2,75+2,72+2,72+2,72+2,75+2,74+2,71+2,71+2,71+2,74+2
1476,67+2,67+2,67+2,68+2,69+2,69+2,69+2,68+2,72+2,72+2,72+2,69+2,75+2,75+2,75+2,69+2,71+2,75+2,75+2,75+2,71+2,70+2,72+2,72+2,72+2,70+2
1477,72+2,72+2,72+2,74+2,74+2,74+2,74+2,74+2,75+2,75+2,75+2,74+2,71+2,71+2,71+2,74+2,61+2,60+2,60+2,60+2,61+2,58+2,53+2,53+2,53+2,58+2
1478,63+2,63+2,63+2,70+2,67+2,67+2,67+2,70+2,68+2,68+2,68+2,71+2,68+2,68+2,68+2,71+2,74+2,71+2,71+2,71+2,74+2,74+2,68+2,68+2,68+2,74+2
1479,67+2,67+2,67+2,71+2,70+2,70+2,70+2,71+2,70+2,70+2,70+2,73+2,70+2,70+2,70+2,73+2,76+2,72+2,72+2,72+2,76+2,75+2,72+2,72+2,72+2,75+2
1480,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1481,51+2,51+2,51+2,54+2,52+2,52+2,52+2,54+2,54+2,54+2,54+2,58+2,61+2,61+2,61+2,58+2,70+2,71+2,71+2,71+2,70+2,71+2,74+2,74+2,74+2,71+2
1482,70+2,70+2,70+2,75+2,73+2,73+2,73+2,75+2,73+2,73+2,73+2,75+2,69+2,69+2,69+2,75+2,64+2,60+2,60+2,60+2,64+2,61+2,54+2,54+2,54+2,61+2
1483,67+2,67+2,67+2,71+2,70+2,70+2,70+2,71+2,70+2,70+2,70+2,73+2,71+2,71+2,71+2,73+2,74+2,73+2,73+2,73+2,74+2,74+2,72+2,72+2,72+2,74+2
1484,74+2,74+2,74+2,71+2,73+2,73+2,73+2,71+2,71+2,71+2,71+2,71+2,64+2,64+2,64+2,71+2,53+2,51+2,51+2,51+2,53+2,50+2,47+2,47+2,47+2,50+2
1485,65+3,65+3,65+3,66+3,66+3,66+3,66+3,66+3,67+3,67+3,67+3,67+3,70+3,70+3,70+3,67+3,73+3,75+3,75+3,75+3,73+3,74+3,78+3,78+3,78+3,74+3
1486,70+2,70+2,70+2,74+2,73+2,73+2,73+2,74+2,73+2,73+2,73+2,75+2,73+2,73+2,73+2,75+2,75+2,73+2,73+2,73+2,75+2,75+2,70+2,70+2,70+2,75+2
1487,53+2,53+2,53+2,51+2,52+2,52+2,52+2,51+2,51+2,51+2,51+2,53+2,56+2,56+2,56+2,53+2,65+2,68+2,68+2,68+2,65+2,67+2,75+2,75+2,75+2,67+2
1488,64+2,64+2,64+2,66+2,67+2,67+2,67+2,66+2,69+2,69+2,69+2,68+2,74+2,74+2,74+2,68+2,70+2,75+2,75+2,75+2,70+2,69+2,71+2,71+2,71+2,69+2
1489,72+2,72+2,72+2,76+2,74+2,74+2,74+2,76+2,73+2,73+2,73+2,75+2,66+2,66+2,66+2,75+2,59+2,52+2,52+2,52+2,59+2,56+2,45+2,45+2,45+2,56+2
1490,68+2,68+2,68+2,74+2,73+2,73+2,73+2,74+2,75+2,75+2,75+2,74+2,71+2,71+2,71+2,74+2,62+2,61+2,61+2,61+2,62+2,60+2,53+2,53+2,53+2,60+2
1491,74+2,74+2,74+2,75+2,74+2,74+2,74+2,75+2,74+2,74+2,74+2,74+2,71+2,71+2,71+2,74+2,65+2,63+2,63+2,63+2,65+2,63+2,58+2,58+2,58+2,63+2
1492,69+2,69+2,69+2,70+2,71+2,71+2,71+2,70+2,72+2,72+2,72+2,71+2,74+2,74+2,74+2,71+2,71+2,75+2,75+2,75+2,71+2,70+2,72+2,72+2,72+2,70+2
1493,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1494,55+2,55+2,55+2,53+2,55+2,55+2,55+2,53+2,57+2,57+2,57+2,56+2,64+2,64+2,64+2,56+2,65+2,71+2,71+2,71+2,65+2,67+2,74+2,74+2,74+2,67+2
1495,53+2,53+2,53+2,55+2,55+2,55+2,55+2,55+2,57+2,57+2,57+2,59+2,62+2,62+2,62+2,59+2,68+2,71+2,71+2,71+2,68+2,70+2,75+2,75+2,75+2,70+2
1496,75+2,75+2,75+2,75+2,76+2,76+2,76+2,75+2,76+2,76+2,76+2,74+2,71+2,71+2,71+2,74+2,60+2,59+2,59+2,59+2,60+2,57+2,54+2,54+2,54+2,57+2
1497,70+2,70+2,70+2,75+2,74+2,74+2,74+2,75+2,75+2,75+2,75+2,75+2,70+2,70+2,70+2,75+2,58+2,56+2,56+2,56+2,58+2,54+2,46+2,46+2,46+2,54+2
1498,61+2,61+2,61+2,64+2,65+2,65+2,65+2,64+2,67+2,67+2,67+2,67+2,71+2,71+2,71+2,67+2,73+2,74+2,74+2,74+2,73+2,73+2,71+2,71+2,71+2,73+2
1499,47+2,47+2,47+2,46+2,45+2,45+2,45+2,46+2,46+2,46+2,46+2,48+2,52+2,52+2,52+2,48+2,64+2,66+2,66+2,66+2,64+2,66+2,74+2,74+2,74+2,66+2
1500,73+2,73+2,73+2,76+2,75+2,75+2,75+2,76+2,75+2,75+2,75+2,75+2,70+2,70+2,70+2,75+2,64+2,61+2,61+2,61+2,64+2,60+2,53+2,53+2,53+2,60+2
1501,73+2,73+2,73+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,71+2,71+2,71+2,74+2,63+2,61+2,61+2,61+2,63+2,61+2,56+2,56+2,56+2,61+2
1502,73+2,73+2,73+2,71+2,72+2,72+2,72+2,71+2,73+2,73+2,73+2,72+2,74+2,74+2,74+2,72+2,72+2,74+2,74+2,74+2,72+2,72+2,73+2,73+2,73+2,72+2
1503,64+2,64+2,64+2,66+2,66+2,66+2,66+2,66+2,68+2,68+2,68+2,68+2,71+2,71+2,71+2,68+2,71+2,74+2,74+2,74+2,71+2,71+2,73+2,73+2,73+2,71+2
1504,54+2,54+2,54+2,49+2,51+2,51+2,51+2,49+2,51+2,51+2,51+2,52+2,58+2,58+2,58+2,52+2,65+2,70+2,70+2,70+2,65+2,67+2,75+2,75+2,75+2,67+2
1505,68+2,68+2,68+2,71+2,71+2,71+2,71+2,71+2,73+2,73+2,73+2,72+2,74+2,74+2,74+2,72+2,72+2,74+2,74+2,74+2,72+2,72+2,71+2,71+2,71+2,72+2
1506,55+2,55+2,55+2,53+2,55+2,55+2,55+2,53+2,56+2,56+2,56+2,56+2,60+2,60+2,60+2,56+2,67+2,71+2,71+2,71+2,67+2,69+2,75+2,75+2,75+2,69+2
1507,75+2,75+2,75+2,71+2,72+2,72+2,72+2,71+2,68+2,68+2,68+2,69+2,58+2,58+2,58+2,69+2,49+2,45+2,45+2,45+2,49+2,46+2,43+2,43+2,43+2,46+2
1508,63+2,63+2,63+2,65+2,63+2,63+2,63+2,65+2,64+2,64+2,64+2,67+2,67+2,67+2,67+2,67+2,75+2,73+2,73+2,73+2,75+2,75+2,75+2,75+2,75+2,75+2
1509,72+2,72+2,72+2,75+2,75+2,75+2,75+2,75+2,75+2,75+2,75+2,75+2,71+2,71+2,71+2,75+2,61+2,59+2,59+2,59+2,61+2,58+2,51+2,51+2,51+2,58+2
1510,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1511,67+2,67+2,67+2,74+2,72+2,72+2,72+2,74+2,72+2,72+2,72+2,75+2,72+2,72+2,72+2,75+2,76+2,72+2,72+2,72+2,76+2,75+2,68+2,68+2,68+2,75+2
1512,74+2,74+2,74+2,67+2,71+2,71+2,71+2,67+2,68+2,68+2,68+2,65+2,65+2,65+2,65+2,65+2,50+2,55+2,55+2,55+2,50+2,48+2,53+2,53+2,53+2,48+2
1513,53+2,53+2,53+2,48+2,50+2,50+2,50+2,48+2,51+2,51+2,51+2,50+2,57+2,57+2,57+2,50+2,63+2,69+2,69+2,69+2,63+2,66+2,74+2,74+2,74+2,66+2
1514,52+2,52+2,52+2,47+2,49+2,49+2,49+2,47+2,49+2,49+2,49+2,49+2,55+2,55+2,55+2,49+2,63+2,67+2,67+2,67+2,63+2,66+2,75+2,75+2,75+2,66+2
1515,68+2,68+2,68+2,75+2,73+2,73+2,73+2,75+2,73+2,73+2,73+2,74+2,66+2,66+2,66+2,74+2,59+2,53+2,53+2,53+2,59+2,55+2,44+2,44+2,44+2,55+2
1516,73+2,73+2,73+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,71+2,71+2,71+2,74+2,60+2,60+2,60+2,60+2,60+2,57+2,54+2,54+2,54+2,57+2
1517,42+2,42+2,42+2,40+2,42+2,42+2,42+2,40+2,44+2,44+2,44+2,45+2,52+2,52+2,52+2,45+2,60+2,68+2,68+2,68+2,60+2,64+2,74+2,74+2,74+2,64+2
1518,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1519,69+2,69+2,69+2,76+2,74+2,74+2,74+2,76+2,74+2,74+2,74+2,74+2,66+2,66+2,66+2,74+2,55+2,50+2,50+2,50+2,55+2,51+2,39+2,39+2,39+2,51+2
1520,71+2,71+2,71+2,75+2,74+2,74+2,74+2,75+2,74+2,74+2,74+2,75+2,70+2,70+2,70+2,75+2,61+2,58+2,58+2,58+2,61+2,57+2,52+2,52+2,52+2,57+2
1521,61+2,61+2,61+2,64+2,65+2,65+2,65+2,64+2,67+2,67+2,67+2,66+2,72+2,72+2,72+2,66+2,70+2,75+2,75+2,75+2,70+2,69+2,72+2,72+2,72+2,69+2
1522,66+2,66+2,66+2,74+2,72+2,72+2,72+2,74+2,74+2,74+2,74+2,74+2,69+2,69+2,69+2,74+2,57+2,54+2,54+2,54+2,57+2,52+2,41+2,41+2,41+2,52+2
1523,66+2,66+2,66+2,69+2,68+2,68+2,68+2,69+2,68+2,68+2,68+2,72+2,70+2,70+2,70+2,72+2,75+2,74+2,74+2,74+2,75+2,75+2,74+2,74+2,74+2,75+2
1524,73+2,73+2,73+2,76+2,76+2,76+2,76+2,76+2,76+2,76+2,76+2,75+2,74+2,74+2,74+2,75+2,72+2,71+2,71+2,71+2,72+2,71+2,68+2,68+2,68+2,71+2
1525,66+2,66+2,66+2,63+2,66+2,66+2,66+2,63+2,66+2,66+2,66+2,65+2,70+2,70+2,70+2,65+2,72+2,75+2,75+2,75+2,72+2,72+2,75+2,75+2,75+2,72+2
1526,73+2,73+2,73+2,74+2,74+2,74+2,74+2,74+2,73+2,73+2,73+2,75+2,72+2,72+2,72+2,75+2,74+2,72+2,72+2,72+2,74+2,74+2,72+2,72+2,72+2,74+2
1527,69+2,69+2,69+2,75+2,73+2,73+2,73+2,75+2,74+2,74+2,74+2,74+2,68+2,68+2,68+2,74+2,58+2,54+2,54+2,54+2,58+2,54+2,44+2,44+2,44+2,54+2
1528,65+2,65+2,65+2,71+2,69+2,69+2,69+2,71+2,70+2,70+2,70+2,73+2,71+2,71+2,71+2,73+2,75+2,72+2,72+2,72+2,75+2,74+2,70+2,70+2,70+2,74+2
1529,64+2,64+2,64+2,70+2,68+2,68+2,68+2,70+2,70+2,70+2,70+2,72+2,71+2,71+2,71+2,72+2,75+2,73+2,73+2,73+2,75+2,75+2,71+2,71+2,71+2,75+2
1530,71+2,71+2,71+2,74+2,74+2,74+2,74+2,74+2,75+2,75+2,75+2,75+2,74+2,74+2,74+2,75+2,68+2,68+2,68+2,68+2,68+2,66+2,63+2,63+2,63+2,66+2
1531,70+2,70+2,70+2,75+2,74+2,74+2,74+2,75+2,74+2,74+2,74+2,74+2,71+2,71+2,71+2,74+2,68+2,66+2,66+2,66+2,68+2,66+2,61+2,61+2,61+2,66+2
1532,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1533,71+2,71+2,71+2,75+2,74+2,74+2,74+2,75+2,75+2,75+2,75+2,74+2,69+2,69+2,69+2,74+2,59+2,56+2,56+2,56+2,59+2,55+2,48+2,48+2,48+2,55+2
1534,50+2,50+2,50+2,49+2,48+2,48+2,48+2,49+2,49+2,49+2,49+2,52+2,55+2,55+2,55+2,52+2,67+2,69+2,69+2,69+2,67+2,69+2,75+2,75+2,75+2,69+2
1535,68+2,68+2,68+2,68+2,69+2,69+2,69+2,68+2,70+2,70+2,70+2,68+2,71+2,71+2,71+2,68+2,72+2,75+2,75+2,75+2,72+2,72+2,74+2,74+2,74+2,72+2
1536,61+3,61+3,61+3,67+3,65+3,65+3,65+3,67+3,66+3,66+3,66+3,70+3,69+3,69+3,69+3,70+3,75+3,72+3,72+3,72+3,75+3,75+3,71+3,71+3,71+3,75+3
1537,75+2,75+2,75+2,74+2,75+2,75+2,75+2,74+2,72+2,72+2,72+2,71+2,63+2,63+2,63+2,71+2,54+2,52+2,52+2,52+2,54+2,51+2,48+2,48+2,48+2,51+2
1538,68+2,68+2,68+2,75+2,74+2,74+2,74+2,75+2,73+2,73+2,73+2,74+2,65+2,65+2,65+2,74+2,55+2,50+2,50+2,50+2,55+2,51+2,41+2,41+2,41+2,51+2
1539,75+2,75+2,75+2,74+2,75+2,75+2,75+2,74+2,73+2,73+2,73+2,72+2,68+2,68+2,68+2,72+2,58+2,57+2,57+2,57+2,58+2,55+2,54+2,54+2,54+2,55+2
1540,68+2,68+2,68+2,70+2,70+2,70+2,70+2,70+2,72+2,72+2,72+2,72+2,75+2,75+2,75+2,72+2,73+2,75+2,75+2,75+2,73+2,72+2,71+2,71+2,71+2,72+2
1541,71+2,71+2,71+2,75+2,75+2,75+2,75+2,75+2,75+2,75+2,75+2,74+2,69+2,69+2,69+2,74+2,58+2,54+2,54+2,54+2,58+2,54+2,45+2,45+2,45+2,54+2
1542,74+2,74+2,74+2,69+2,72+2,72+2,72+2,69+2,71+2,71+2,71+2,68+2,65+2,65+2,65+2,68+2,53+2,55+2,55+2,55+2,53+2,52+2,52+2,52+2,52+2,52+2
1543,69+2,69+2,69+2,70+2,70+2,70+2,70+2,70+2,72+2,72+2,72+2,71+2,75+2,75+2,75+2,71+2,72+2,74+2,74+2,74+2,72+2,71+2,71+2,71+2,71+2,71+2
1544,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1545,69+2,69+2,69+2,70+2,70+2,70+2,70+2,70+2,70+2,70+2,70+2,72+2,73+2,73+2,73+2,72+2,75+2,75+2,75+2,75+2,75+2,74+2,74+2,74+2,74+2,74+2
1546,62+2,62+2,62+2,65+2,65+2,65+2,65+2,65+2,68+2,68+2,68+2,66+2,72+2,72+2,72+2,66+2,70+2,74+2,74+2,74+2,70+2,70+2,71+2,71+2,71+2,70+2
1547,66+2,66+2,66+2,71+2,69+2,69+2,69+2,71+2,69+2,69+2,69+2,72+2,68+2,68+2,68+2,72+2,75+2,70+2,70+2,70+2,75+2,75+2,71+2,71+2,71+2,75+2
1548,70+2,70+2,70+2,70+2,71+2,71+2,71+2,70+2,72+2,72+2,72+2,72+2,74+2,74+2,74+2,72+2,73+2,75+2,75+2,75+2,73+2,72+2,72+2,72+2,72+2,72+2
1549,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1550,73+2,73+2,73+2,76+2,74+2,74+2,74+2,76+2,73+2,73+2,73+2,75+2,65+2,65+2,65+2,75+2,57+2,50+2,50+2,50+2,57+2,53+2,44+2,44+2,44+2,53+2
1551,52+2,52+2,52+2,50+2,50+2,50+2,50+2,50+2,50+2,50+2,50+2,52+2,55+2,55+2,55+2,52+2,64+2,67+2,67+2,67+2,64+2,66+2,74+2,74+2,74+2,66+2
1552,66+2,66+2,66+2,65+2,67+2,67+2,67+2,65+2,69+2,69+2,69+2,67+2,72+2,72+2,72+2,67+2,70+2,74+2,74+2,74+2,70+2,70+2,73+2,73+2,73+2,70+2
1553,59+2,59+2,59+2,58+2,58+2,58+2,58+2,58+2,57+2,57+2,57+2,62+2,61+2,61+2,61+2,62+2,71+2,70+2,70+2,70+2,71+2,72+2,75+2,75+2,75+2,72+2
1554,69+2,69+2,69+2,74+2,73+2,73+2,73+2,74+2,75+2,75+2,75+2,74+2,71+2,71+2,71+2,74+2,62+2,61+2,61+2,61+2,62+2,58+2,51+2,51+2,51+2,58+2
1555,54+2,54+2,54+2,53+2,54+2,54+2,54+2,53+2,55+2,55+2,55+2,56+2,59+2,59+2,59+2,56+2,67+2,69+2,69+2,69+2,67+2,69+2,74+2,74+2,74+2,69+2
1556,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1557,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
1558,68+2,68+2,68+2,74+2,73+2,73+2,73+2,74+2,75+2,75+2,75+2,74+2,71+2,71+2,71+2,74+2,62+2,60+2,60+2,60+2,62+2,59+2,49+2,49+2,49+2,59+2
1559,74+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,72+2,72+2,72+2,72+2,64+2,64+2,64+2,72+2,55+2,49+2,49+2,49+2,55+2,52+2,44+2,44+2,44+2,52+2
1560,63+2,63+2,63+2,64+2,64+2,64+2,64+2,64+2,66+2,66+2,66+2,67+2,69+2,69+2,69+2,67+2,73+2,74+2,74+2,74+2,73+2,73+2,74+2,74+2,74+2,73+2
1561,66+2,66+2,66+2,74+2,72+2,72+2,72+2,74+2,75+2,75+2,75+2,75+2,74+2,74+2,74+2,75+2,69+2,68+2,68+2,68+2,69+2,65+2,58+2,58+2,58+2,65+2
1562,58+2,58+2,58+2,62+2,60+2,60+2,60+2,62+2,61+2,61+2,61+2,65+2,63+2,63+2,63+2,65+2,72+2,70+2,70+2,70+2,72+2,73+2,74+2,74+2,74+2,73+2
1563,68+2,68+2,68+2,67+2,70+2,70+2,70+2,67+2,71+2,71+2,71+2,69+2,73+2,73+2,73+2,69+2,70+2,75+2,75+2,75+2,70+2,70+2,73+2,73+2,73+2,70+2
1564,65+2,65+2,65+2,67+2,68+2,68+2,68+2,67+2,70+2,70+2,70+2,71+2,73+2,73+2,73+2,71+2,72+2,74+2,74+2,74+2,72+2,71+2,72+2,72+2,72+2,71+2
1565,59+2,59+2,59+2,59+2,59+2,59+2,59+2,59+2,60+2,60+2,60+2,60+2,63+2,63+2,63+2,60+2,68+2,71+2,71+2,71+2,68+2,69+2,74+2,74+2,74+2,69+2
1566,76+2,76+2,76+2,75+2,75+2,75+2,75+2,75+2,74+2,74+2,74+2,75+2,69+2,69+2,69+2,75+2,65+2,63+2,63+2,63+2,65+2,64+2,63+2,63+2,63+2,64+2
1567,64+2,64+2,64+2,70+2,70+2,70+2,70+2,70+2,73+2,73+2,73+2,71+2,75+2,75+2,75+2,71+2,71+2,74+2,74+2,74+2,71+2,68+2,67+2,67+2,67+2,68+2
1568,64+2,64+2,64+2,65+2,65+2,65+2,65+2,65+2,65+2,65+2,65+2,67+2,68+2,68+2,68+2,67+2,74+2,71+2,71+2,71+2,74+2,74+2,72+2,72+2,72+2,74+2
1569,70+2,70+2,70+2,74+2,74+2,74+2,74+2,74+2,75+2,75+2,75+2,73+2,71+2,71+2,71+2,73+2,61+2,61+2,61+2,61+2,61+2,58+2,54+2,54+2,54+2,58+2
1570,68+2,68+2,68+2,72+2,71+2,71+2,71+2,72+2,73+2,73+2,73+2,74+2,74+2,74+2,74+2,74+2,75+2,74+2,74+2,74+2,75+2,73+2,71+2,71+2,71+2,73+2
1571,48+2,48+2,48+2,44+2,47+2,47+2,47+2,44+2,48+2,48+2,48+2,47+2,56+2,56+2,56+2,47+2,61+2,68+2,68+2,68+2,61+2,64+2,73+2,73+2,73+2,64+2
1572,70+2,70+2,70+2,72+2,73+2,73+2,73+2,72+2,73+2,73+2,73+2,72+2,73+2,73+2,73+2,72+2,71+2,72+2,72+2,72+2,71+2,70+2,70+2,70+2,70+2,70+2
1573,52+2,52+2,52+2,49+2,50+2,50+2,50+2,49+2,49+2,49+2,49+2,51+2,53+2,53+2,53+2,51+2,65+2,66+2,66+2,66+2,65+2,68+2,74+2,74+2,74+2,68+2
1574,67+2,67+2,67+2,69+2,68+2,68+2,68+2,69+2,68+2,68+2,68+2,71+2,70+2,70+2,70+2,71+2,74+2,73+2,73+2,73+2,74+2,74+2,72+2,72+2,72+2,74+2
1575,54+2,54+2,54+2,51+2,53+2,53+2,53+2,51+2,55+2,55+2,55+2,54+2,61+2,61+2,61+2,54+2,63+2,69+2,69+2,69+2,63+2,65+2,73+2,73+2,73+2,65+2
1576,69+2,69+2,69+2,71+2,71+2,71+2,71+2,71+2,73+2,73+2,73+2,73+2,74+2,74+2,74+2,73+2,72+2,73+2,73+2,73+2,72+2,71+2,69+2,69+2,69+2,71+2
1577,66+2,66+2,66+2,73+2,70+2,70+2,70+2,73+2,71+2,71+2,71+2,73+2,69+2,69+2,69+2,73+2,70+2,67+2,67+2,67+2,70+2,68+2,62+2,62+2,62+2,68+2
1578,73+2,73+2,73+2,75+2,74+2,74+2,74+2,75+2,73+2,73+2,73+2,74+2,68+2,68+2,68+2,74+2,60+2,56+2,56+2,56+2,60+2,56+2,50+2,50+2,50+2,56+2
1579,46+2,46+2,46+2,45+2,46+2,46+2,46+2,45+2,47+2,47+2,47+2,48+2,52+2,52+2,52+2,48+2,64+2,67+2,67+2,67+2,64+2,67+2,73+2,73+2,73+2,67+2
1580,70+2,70+2,70+2,69+2,70+2,70+2,70+2,69+2,71+2,71+2,71+2,70+2,73+2,73+2,73+2,70+2,71+2,73+2,73+2,73+2,71+2,71+2,71+2,71+2,71+2,71+2
1581,72+2,72+2,72+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,74+2,68+2,68+2,68+2,74+2,60+2,57+2,57+2,57+2,60+2,58+2,53+2,53+2,53+2,58+2
1582,70+2,70+2,70+2,72+2,72+2,72+2,72+2,72+2,73+2,73+2,73+2,72+2,71+2,71+2,71+2,72+2,63+2,62+2,62+2,62+2,63+2,61+2,56+2,56+2,56+2,61+2
1583,68+2,68+2,68+2,73+2,72+2,72+2,72+2,73+2,73+2,73+2,73+2,73+2,69+2,69+2,69+2,73+2,60+2,56+2,56+2,56+2,60+2,55+2,44+2,44+2,44+2,55+2
1584,68+2,68+2,68+2,73+2,72+2,72+2,72+2,73+2,73+2,73+2,73+2,73+2,74+2,74+2,74+2,73+2,72+2,71+2,71+2,71+2,72+2,71+2,66+2,66+2,66+2,71+2
